DOI,ISBN,Comments,openalex_id
10.1111/cobi.14089 ,,,
10.1088/1748-9326/aaf300 ,,,
10.1016/j.ecocom.2009.10.006,,,
10.1007/s00267-018-1028-3,,,
10.1016/j.marpol.2016.06.023,,,
10.5281/zenodo.6522392,,"Zenodo doi, assuming it might not come up in Open Alex",
10.1016/j.ecoser.2021.101273,,,
10.5281/zenodo.6522522,,"Zenodo doi, assuming it might not come up in Open Alex",
10.5281/zenodo.13850289 ,,"Zenodo doi, assuming it might not come up in Open Alex",
10.3390/su9091668,,,
10.1016/j.mex.2022.101989,,,
10.1093/biosci/biab091,,,
10.1038/35012251,,,
10.1016/j.tree.2007.10.001 ,,,
10.1038/s44183-023-00022-w,,,
,978-92-95117-09-9,,W2978599153
10.1111/btp.12386,,,
10.1073/pnas.2203385119,,,
10.1098/rsos.250810,,,
10.25607/obp-1666,978-84-09-33197-0,,
10.1016/j.tree.2022.09.002,,,
10.1111/1365-2664.13796,,,
10.1088/1748-9326/ab3234,,,
10.3390/su16072965,,,
10.1007/978-3-031-15773-8_4,,,
10.1007/s10980-021-01329-0,,,
10.1016/j.marpol.2017.06.020,,,
10.1016/j.ecolind.2024.111816,,,
10.1007/s00267-024-02086-x,,,
10.1007/s10980-014-0052-9,,,
10.1007/s10980-014-0085-0,,,
10.1007/s10980-018-0745-6,,,
10.1016/j.landurbplan.2019.103741,,,
10.1080/21513732.2017.1396257,,,
10.1080/21513732.2017.1296494,,,
10.1016/j.envsci.2021.02.001,,,
10.1007/978-3-030-20024-4,,,
10.1007/978-3-031-15773-8_4,,,
10.1007/s10980-021-01329-0,,,
10.1016/j.landusepol.2017.10.017,,,
10.1016/j.landurbplan.2021.104129,,,
10.1016/j.ecoser.2021.101273,,,
10.1007/s10668-018-00300-5,,,
10.1007/s41207-022-00315-5,,,
10.1093/biosci/bix012,,,
10.3897/rio.4.e28045,,,
10.1016/j.marpol.2023.105655,,,
10.1016/j.scitotenv.2018.05.147,,,
10.1007/s11252-024-01656-5,,,
10.1016/j.oneear.2022.02.008,,,
10.1080/02697459.2025.2459975,,,
10.1023/A:1014475908949,,,
10.1016/S0169-2046(02)00005-1,,,
10.1016/j.landurbplan.2006.04.005,,,
10.1007/978-3-319-94021-2,,,
10.1080/02513625.2018.1562795,,,
10.1016/j.tree.2025.07.014,,,
10.1016/j.rsma.2025.104257,,,
10.1016/j.crsus.2025.100526,,,
10.1080/21513732.2011.617711,,,
10.1146/annurev.ecolsys.32.081501.114012,,,
10.1016/j.ecolind.2015.03.029,,,
10.1007/978-94-024-1681-7,,,
10.1017/S0376892907003931,,,
10.2305/IUCN.CH.2020.PAG.30.en,,,
10.1016/j.marpol.2025.106852,,,
10.1016/j.marpol.2020.103950,,,
10.1080/08920753.2017.1373450,,,
10.1002/aqc.2645,,,
10.1016/j.gecco.2019.e00569,,,
10.1016/j.tree.2022.09.002,,,
10.1126/science.abl8974,,,
10.1126/science.adn2225,,,
10.1017/CBO9780511754821,,,
10.1111/2041-210X.13349,,,
10.1111/1365-2664.13796,,,
10.1016/j.biocon.2021.109008,,,
10.1002/ece3.70231,,,
10.1111/conl.12439,,,
10.1111/ecog.01507,,,
10.1073/pnas.2410937122,,,
10.1016/j.biocon.2017.12.020,,,
10.1016/j.biocon.2019.07.028,,,
10.3354/meps14888,,,
10.1111/csp2.12823,,,
10.1038/s41467-020-18457-x,,,
10.3389/fevo.2022.830822,,,
10.1126/science.aam9712,,,
10.1111/brv.13066,,,
10.1007/s10980-025-02210-0,,,
10.1126/science.1242552,,,
10.1126/science.abl8974,,,
10.1016/j.tree.2025.09.007,,,
10.1038/s44358-025-00091-4.,,,
10.1038/s41467-025-63205-8,,,
10.1093/biosci/biaf030.,,,
10.1038/s41467-023-43832-9,,,
10.1073/pnas.2402970121.,,,
10.1038/s44183-023-00022-w,,,
10.1111/conl.12848.,,,
10.1016/j.tree.2022.09.002,,,
10.1038/d41586-021-02041-4,,,
10.1111/rec.13403,,,
10.1111/rec.13346,,,
10.1111/rec.13035,,,
10.1016/j.cosust.2017.10.004,,,
10.1016/j.envsci.2017.05.003,,,
10.1111/brv.12008,,,
10.1525/bio.2010.60.3.7,,,
10.1016/j.tree.2024.12.002,,,
10.1016/j.biocon.2023.110068,,,
10.1126/science.abc4896,,,
10.1007/s10113-020-01685-8,,,
10.1007/s11625-023-01316-1,,,
10.1126/science.adn3441,,,
10.1073/pnas.2501695122,,,
10.1111/1365-2664.13506,,,
10.1016/j.envsoft.2020.104806,,,
10.1111/geb.13459,,,
10.5194/gmd-11-4537-2018,,,
10.1016/j.jenvman.2021.112400,,,
10.1007/s10980-022-01534-5,,,
10.5751/ES-07985-200432,,,
10.1126/science.123437,,,
10.1073/pnas.1201040109,,,
10.1073/pnas.1000530107,,,
10.1046/j.1523-1739.2003.01491.x,,,
10.1007/s10980-024-02042-4,,,
10.1007/978-1-4612-0529-6_10,,,
10.1177/0885412222108354,,,
10.1016/j.landurbplan.2016.05.003,,,
10.1038/s43588-023-00503-5,,,
10.1126/science.1196624,,,
10.1038/s41559-017-0273-9,,,
10.1016/j.tree.2018.10.006,,,
10.1111/gcb.12383,,,
10.1016/j.biocon.2015.02.015,,,
10.1007/s10021-004-0074-2,,,
10.1046/j.1523-1739.2003.01491.x,,,
,,"grey literature, no doi but link instead https://www.cbd.int/doc/publications/cbd-ts-50-en.pdf",W2255223904
10.1016/j.cosust.2013.05.002,,,
10.1111/j.1466-8238.2010.00620.x,,,
10.1007/s11625-025-01682-y,,,
10.1016/j.futures.2012.10.003,,,
10.1016/j.mex.2021.101401,,,
10.1016/j.techfore.2019.07.002,,,
10.1016/j.tree.2014.07.005,,,
10.1146/annurev-environ-112321-095011,,,
10.1177/0306312713508669,,,
10.1108/14636680810855991,,,
10.1016/j.futures.2015.08.007,,,
10.1016/j.enpol.2005.12.006,,,
10.1007/s11625-022-01251-7,,,
10.1016/s0016-3287(98)00101-3,,,
10.1016/j.futures.2007.11.011,,,
10.1111/j.1523-1739.2009.01212.x,,,
10.1016/j.tree.2009.04.008,,,
10.1146/annurev-anthro-102218-011435,,,
10.1016/j.futures.2007.11.010,,,
10.1126/science.1258832,,,
10.1038/s41559-017-0273-9,,,
10.1002/pan3.10146,,,
10.1016/j.envsci.2022.01.013,,,
10.1016/j.gloenvcha.2023.102681,,,
10.1038/s41893-021-00844-x,,,
