Citation,DOI
Balbar & Metaxas 2019,10.1016/j.gecco.2019.e00569
Beger et al. 2022,10.1016/j.tree.2022.09.002
Brennan et al. 2022,10.1126/science.abl8974
Brodie et al. 2025,10.1126/science.adn2225
Crooks & Sanjayan 2006,10.1017/CBO9780511754821
Daigle et al. 2020,10.1111/2041-210X.13349
Hermoso et al. 2021,10.1111/1365-2664.13796
Hilty et al. 2020 (Guidelines),10.2305/IUCN.CH.2020.PAG.30.en
Hilty 2019 (Corridor Ecology 2nd ed.),10.1002/jwmg.21836
Keeley et al. 2021,10.1016/j.biocon.2021.109008
Liczner et al. 2024,10.1002/ece3.70231
Magris et al. 2018,10.1111/conl.12439
Magris et al. 2016,10.1111/ecog.01507
Moreira et al. 2024,10.3897/arphapreprints.e129021
Naidoo et al. 2025,10.1073/pnas.2410937122
Saura et al. 2018,10.1016/j.biocon.2017.12.020
Saura et al. 2019,10.1016/j.biocon.2019.07.028
Tanner et al. 2025,10.3354/meps14888
Theobald et al. 2022,10.1111/csp2.12823
Ward et al. 2020,10.1038/s41467-020-18457-x
Wood et al. 2022,10.3389/fevo.2022.830822
