Citation,DOI
Albert et al. 2020,10.1016/j.landurbplan.2019.103741
Brodie et al. 2025,10.1038/s41467-025-63205-8
Fastré et al. 2021,10.1016/j.oneear.2021.10.014
Garnett et al. 2018,10.1038/s41893-018-0100-6
Giakoumi et al. 2025,10.1016/j.tree.2024.12.002
Grantham et al. 2024,NONE
IPBES 2022,10.5281/zenodo.6522523
IUCN 2016,NONE
Kremen & Merenlender 2018,10.1126/science.aau6020
Leadley et al. 2022 (One Earth),10.1016/j.oneear.2022.05.009
Leadley et al. 2022 (PLOS Sustainability & Transformation),10.1371/journal.pstr.0000040
Mohamed et al. 2024,10.1016/j.oneear.2023.12.008
Neubert et al. 2025,10.1016/j.tree.2025.09.007
Obura et al. 2021,10.1126/science.abh2234
Plumptre et al. 2025,10.1111/cobi.14400
Reimer et al. 2023,10.1038/s44183-023-00022-w
Rockström et al. 2023,10.1038/s41586-023-06083-8
Watson et al. 2016,10.1016/j.cub.2016.08.049
